SID,Major,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Year
1,R,Potions 6,,Transfiguration 1,Charms 2,,,Herbology 6,,,7
2,S,Potions 3,,Transfiguration 2,Charms 7,Defense Against the Dark Arts 4,,Herbology 6,Divination 4,Care of Magical Creatures 3,7
3,G,Potions 1,,Transfiguration 3,Charms 1,Defense Against the Dark Arts 1,,Herbology 6,,,2
4,S,Potions 2,Muggle Studies 2,Transfiguration 2,Charms 7,Defense Against the Dark Arts 2,Runes 3,Herbology 3,Divination 4,Care of Magical Creatures 3,2
5,S,Potions 2,,Transfiguration 7,Charms 1,Defense Against the Dark Arts 3,,Herbology 4,Divination 4,Care of Magical Creatures 2,3
6,R,Potions 5,,Transfiguration 7,Charms 4,,,Herbology 6,,,7
7,G,Potions 6,,Transfiguration 5,Charms 6,Defense Against the Dark Arts 2,,Herbology 4,Divination 3,Care of Magical Creatures 5,3
8,H,Potions 1,,Transfiguration 5,Charms 1,Defense Against the Dark Arts 5,,Herbology 3,,,6
9,H,Potions 3,Muggle Studies 2,Transfiguration 3,Charms 1,Defense Against the Dark Arts 1,Runes 1,Herbology 6,Divination 3,Care of Magical Creatures 2,1
10,S,Potions 4,Muggle Studies 1 ,Transfiguration 4,Charms 2,Defense Against the Dark Arts 3,Runes 3,Herbology 3,Divination 4,Care of Magical Creatures 4,6
11,H,Potions 7,,Transfiguration 1,Charms 3,Defense Against the Dark Arts 2,,Herbology 6,Divination 1 ,Care of Magical Creatures 2,7
12,R,Potions 7,Muggle Studies 2,Transfiguration 4,Charms 4,Defense Against the Dark Arts 1,Runes 4,Herbology 7,Divination 3,Care of Magical Creatures 3,4
13,S,Potions 1,Muggle Studies 2,Transfiguration 3,Charms 6,Defense Against the Dark Arts 4,Runes 1,Herbology 3,Divination 4,Care of Magical Creatures 4,6
14,S,Potions 3,,Transfiguration 1,Charms 1,Defense Against the Dark Arts 4,,Herbology 3,,,2
15,S,Potions 1,,Transfiguration 1,Charms 4,Defense Against the Dark Arts 3,,Herbology 5,,,4
16,H,Potions 7,,Transfiguration 1,Charms 2,Defense Against the Dark Arts 1,,Herbology 7,,,6
17,S,Potions 7,,Transfiguration 2,Charms 4,Defense Against the Dark Arts 4,,Herbology 3,Divination 1 ,Care of Magical Creatures 1,5
