Classes
Potions 1
Potions 2
Potions 3
Potions 4
Potions 5
Potions 6
Potions 7
Muggle Studies 1 
Muggle Studies 2
Muggle Studies 3
Muggle Studies 4
Transfiguration 1
Transfiguration 2
Transfiguration 3
Transfiguration 4
Transfiguration 5
Transfiguration 6
Transfiguration 7
Charms 1
Charms 2
Charms 3
Charms 4
Charms 5
Charms 6
Charms 7
Defense Against the Dark Arts 1
Defense Against the Dark Arts 2
Defense Against the Dark Arts 3
Defense Against the Dark Arts 4
Defense Against the Dark Arts 5
Defense Against the Dark Arts 6
Defense Against the Dark Arts 7
Runes 1
Runes 2
Runes 3
Runes 4
Herbology 1
Herbology 2
Herbology 3
Herbology 4
Herbology 5
Herbology 6
Herbology 7
Divination 1 
Divination 2
Divination 3
Divination 4
Care of Magical Creatures 1
Care of Magical Creatures 2
Care of Magical Creatures 3
Care of Magical Creatures 4
Care of Magical Creatures 5
